dgp,window,model,predictor,M,mean,std,q_low,q_high
friedman1,rolling,rf,x2,18,-1.3722686063609528,0.00643102055014613,-1.3778777166982956,-1.3679120941802134
friedman1,rolling,rf,x2,30,-1.372606010193096,0.003953521993734258,-1.375188898271074,-1.3691755452670906
friedman1,rolling,rf,x2,40,-1.371739455020255,0.0016996864497728973,-1.3734848288929484,-1.3701875670154302
friedman1,rolling,rf,x2,60,-1.3716816217476306,0.001952659441166739,-1.3733337643665648,-1.3703308316651783
friedman1,rolling,rf,x2,80,-1.3721593112815822,0.0009640625903396485,-1.3730016503709657,-1.3710875877887627
friedman1,rolling,rf,x2,100,-1.372030169319186,0.002579268174917771,-1.3740920053149246,-1.3696311024413255
friedman1,rolling,rf,x2,200,-1.3710372149743932,0.001359527768486584,-1.3726698847802763,-1.3699414294512262
friedman1,rolling,rf,x2,500,-1.3716409739534963,0.0005704417045755321,-1.3719963917474045,-1.3712368281476195
friedman1,rolling,rf,x2,1000,-1.3714790070564615,0.0005928664081384906,-1.3717654611108285,-1.3713922576379838
friedman1,rolling,rf,x3,3,-0.010933069774985742,0.0005595386745503627,-0.011437730799858829,-0.010411117373176118
friedman1,rolling,rf,x3,6,-0.010973880832976972,0.0003672469390499391,-0.011414894095937166,-0.010659375414299545
friedman1,rolling,rf,x3,8,-0.010850318964454868,0.00011295790382868241,-0.010936558169410195,-0.01074744515588782
friedman1,rolling,rf,x3,12,-0.010892310160007964,0.00023690490398257385,-0.010938216668952006,-0.0107149101937007
friedman1,rolling,rf,x3,18,-0.010744974210690223,0.00022266150787651764,-0.01094447786587328,-0.01049733252017494
friedman1,rolling,rf,x3,30,-0.010796316339808824,9.206170126520599e-05,-0.010866894054252296,-0.010753810396993921
friedman1,rolling,rf,x3,40,-0.010848338455023821,0.00013964514082115648,-0.010971549770923841,-0.010712620516474855
friedman1,rolling,rf,x3,60,-0.010845559229810023,9.232875841332041e-05,-0.010947886268343227,-0.010754869261272011
friedman1,rolling,rf,x3,80,-0.010847142808558866,6.656977423881532e-05,-0.010892930001914294,-0.01077599560653257
friedman1,rolling,rf,x3,100,-0.010854209085943096,7.06038788482565e-05,-0.010922739899464733,-0.010788321105992928
friedman1,rolling,rf,x3,200,-0.010868654404367963,6.0433313480752284e-05,-0.010924652373231487,-0.010810966909446055
friedman1,rolling,rf,x3,500,-0.010854909908393133,2.8915715072333906e-05,-0.01088486876414332,-0.010829624594765526
friedman1,rolling,rf,x3,1000,-0.010835448092670117,1.1255434858963371e-05,-0.010845074152310718,-0.010821694105333634
friedman1,rolling,rf,x4,3,-0.10491929199264233,0.00901735405089425,-0.1157692899799155,-0.09542755059859362
friedman1,rolling,rf,x4,6,-0.11028424976395677,0.006284811539286854,-0.11688200895773937,-0.1061468376343125
friedman1,rolling,rf,x4,8,-0.10729796718794,0.0027874743030150088,-0.10904392184188091,-0.1048484796710099
friedman1,rolling,rf,x4,12,-0.10785567195031731,0.005315792132491109,-0.11114025176672394,-0.10156634496224856
friedman1,rolling,rf,x4,18,-0.10592749786422653,0.004611937477445146,-0.1098524255173678,-0.10098336572423888
friedman1,rolling,rf,x4,30,-0.10462611265309203,0.002871267862190155,-0.10722526008644173,-0.10208357562126888
friedman1,rolling,rf,x4,40,-0.10657401443556055,0.0032266940650756263,-0.10964596343133211,-0.10359071997848071
friedman1,rolling,rf,x4,60,-0.10560903842749855,0.002562333744744879,-0.10785652075602642,-0.10252823610175793
friedman1,rolling,rf,x4,80,-0.1058884077720017,0.0019419488709584687,-0.10792861146904596,-0.10405250630480385
friedman1,rolling,rf,x4,100,-0.10633363845598573,0.0019987342366868024,-0.10786403144687269,-0.10455977072513206
friedman1,rolling,rf,x4,200,-0.10711298052815318,0.0008606918323474704,-0.10804946514386893,-0.10651455461024265
friedman1,rolling,rf,x4,500,-0.10641074710489276,0.0003714573317487433,-0.10678366931539562,-0.1061587532604309
friedman1,rolling,rf,x4,1000,-0.1063507177236039,0.00024663524843607134,-0.10650628452584385,-0.10609391886873139
