horizon,model,predictor,structural_zero,source
1,nn_comb,fred_bogmbase,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_totresns,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_nonborres,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_busloans,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_realln,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_nonrevsl,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_conspi,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_s&p 500,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_s&p div yield,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_s&p pe ratio,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_fedfunds,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_cp3mx,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_tb3ms,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_tb6ms,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_gs1,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_gs5,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_gs10,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_aaa,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_baa,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_compapffx,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_tb3smffm,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_tb6smffm,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_t1yffm,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_t5yffm,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_t10yffm,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_aaaffm,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_baaffm,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_exszusx,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_exjpusx,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_exusukx,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_excausx,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_wpsfd49207,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_wpsfd49502,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_wpsid61,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_wpsid62,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_oilpricex,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_ppicmm,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_cpiappsl,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_cpitrnsl,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_cpimedsl,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_cusr0000sac,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_cusr0000sad,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_cusr0000sas,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_cpiulfsl,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_cusr0000sa0l2,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_cusr0000sa0l5,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_pcepi,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_ddurrg3m086sbea,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_dndgrg3m086sbea,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_dserrg3m086sbea,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_ces0600000008,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_ces2000000008,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_ces3000000008,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_dtcolnvhfnm,False,all_retained_no_direct_invariance_evidence
